,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,FormQuality
262,0.062992126,0.9683026585,0.0393700787,0.9652351738,0.0078740157,0.9539877301,-0.0078740157,0.9447852761,-0.062992126,0.9243353783,-0.0787401575,0.9100204499,-0.125984252,0.8885480573,-0.1417322835,0.8732106339,-0.1968503937,0.8435582822,-0.2125984252,0.8282208589,-0.2519685039,0.7924335378,-0.2677165354,0.7740286299,-0.2992125984,0.736196319,-0.3228346457,0.6973415133,-0.3385826772,0.6789366053,-0.3622047244,0.6400817996,-0.3700787402,0.6226993865,-0.4015748031,0.5889570552,-0.4173228346,0.5746421268,-0.4409448819,0.5460122699,-0.4488188976,0.5347648262,-0.4645669291,0.5163599182,-0.4645669291,0.509202454,-0.4724409449,0.5,-0.4803149606,0.5,-0.5118110236,0.5061349693,-0.5354330709,0.5265848671,-0.5433070866,0.5378323108,-0.5590551181,0.5685071575,-0.5669291339,0.5838445808,-0.5669291339,0.618609407,-0.5590551181,0.6349693252,-0.5669291339,0.6656441718,-0.5669291339,0.6789366053,-0.5590551181,0.7024539877,-0.5590551181,0.7085889571,-0.5669291339,0.7167689162,-0.5669291339,0.7218813906,-0.5669291339,0.7218813906,-0.5669291339,0.7239263804,-0.5669291339,0.7259713701,-0.5590551181,0.736196319,-0.5590551181,0.7443762781,-0.5433070866,0.7678936605,-0.5354330709,0.7832310838,-0.5118110236,0.8190184049,-0.4960629921,0.8374233129,-0.4488188976,0.8762781186,-0.4173228346,0.8967280164,-0.3622047244,0.9314928425,FALSE
263,-0.0472440945,0.9703476483,-0.062992126,0.9621676892,-0.1181102362,0.9478527607,-0.157480315,0.9151329243,-0.188976378,0.8885480573,-0.2362204724,0.8588957055,-0.2598425197,0.827198364,-0.2913385827,0.7934560327,-0.3149606299,0.7597137014,-0.3543307087,0.7075664622,-0.3700787402,0.6738241309,-0.3858267717,0.6390593047,-0.4094488189,0.6022494888,-0.4409448819,0.5715746421,-0.4566929134,0.5449897751,-0.5118110236,0.5143149284,-0.5039370079,0.4979550102,-0.4960629921,0.490797546,-0.5039370079,0.4897750511,-0.5039370079,0.4969325153,-0.5354330709,0.5122699387,-0.5511811024,0.5337423313,-0.5590551181,0.5460122699,-0.5669291339,0.5582822086,-0.5826771654,0.5695296524,-0.5905511811,0.5787321063,-0.5905511811,0.5869120654,-0.5984251969,0.5950920245,-0.5826771654,0.6073619632,-0.5826771654,0.6155419223,-0.5826771654,0.6237218814,-0.5826771654,0.6339468303,-0.5826771654,0.6431492843,-0.5826771654,0.6533742331,-0.5748031496,0.6697341513,-0.5748031496,0.68200409,-0.5748031496,0.6942740286,-0.5669291339,0.7055214724,-0.5669291339,0.7167689162,-0.5748031496,0.7290388548,-0.5669291339,0.7494887526,-0.5590551181,0.7648261759,-0.5511811024,0.7791411043,-0.5433070866,0.7934560327,-0.5196850394,0.8108384458,-0.4881889764,0.8312883436,-0.4409448819,0.8588957055,-0.4094488189,0.8824130879,-0.3622047244,0.9079754601,-0.3149606299,0.9325153374,TRUE
264,-0.0078740157,0.9795501022,-0.0078740157,0.9764826176,-0.031496063,0.9652351738,-0.0472440945,0.9560327198,-0.1023622047,0.9325153374,-0.125984252,0.9192229039,-0.1653543307,0.8844580777,-0.1811023622,0.8680981595,-0.2125984252,0.8312883436,-0.2204724409,0.8118609407,-0.2519685039,0.7719836401,-0.2677165354,0.7515337423,-0.3070866142,0.7085889571,-0.3385826772,0.6646216769,-0.3385826772,0.6462167689,-0.3622047244,0.6032719836,-0.3779527559,0.5848670757,-0.4173228346,0.5531697342,-0.4409448819,0.5378323108,-0.4803149606,0.5132924335,-0.5039370079,0.5010224949,-0.4881889764,0.4887525562,-0.4881889764,0.4846625767,-0.5039370079,0.4826175869,-0.5118110236,0.4856850716,-0.5275590551,0.5030674847,-0.5826771654,0.5327198364,-0.5984251969,0.5480572597,-0.6062992126,0.5838445808,-0.5984251969,0.6042944785,-0.5984251969,0.6421267894,-0.5984251969,0.6605316973,-0.5984251969,0.6942740286,-0.6062992126,0.7085889571,-0.5826771654,0.7259713701,-0.5748031496,0.7310838446,-0.5669291339,0.7372188139,-0.5590551181,0.7392638037,-0.5590551181,0.7392638037,-0.5511811024,0.7402862986,-0.5511811024,0.7413087935,-0.5354330709,0.7484662577,-0.5354330709,0.7566462168,-0.5354330709,0.7781186094,-0.5196850394,0.7944785276,-0.4881889764,0.8302658487,-0.4645669291,0.8486707566,-0.4094488189,0.8854805726,-0.3779527559,0.9028629857,-0.3149606299,0.9355828221,FALSE
265,-0.0551181102,0.981595092,-0.0708661417,0.9775051125,-0.0787401575,0.972392638,-0.094488189,0.9642126789,-0.1338582677,0.9417177914,-0.1496062992,0.9294478528,-0.1653543307,0.9151329243,-0.1732283465,0.899795501,-0.1811023622,0.8844580777,-0.2047244094,0.8670756646,-0.2204724409,0.8466257669,-0.2283464567,0.827198364,-0.2519685039,0.7893660532,-0.2677165354,0.7689161554,-0.2834645669,0.7484662577,-0.2992125984,0.7259713701,-0.3149606299,0.7024539877,-0.3307086614,0.6799591002,-0.3385826772,0.6574642127,-0.3464566929,0.6370143149,-0.3937007874,0.5930470348,-0.4251968504,0.572597137,-0.4488188976,0.554192229,-0.4566929134,0.536809816,-0.4566929134,0.5224948875,-0.4645669291,0.5081799591,-0.4645669291,0.4969325153,-0.4645669291,0.4887525562,-0.4724409449,0.4836400818,-0.5039370079,0.4836400818,-0.5196850394,0.490797546,-0.5433070866,0.5,-0.5511811024,0.5153374233,-0.5826771654,0.5296523517,-0.5905511811,0.5470347648,-0.6062992126,0.5644171779,-0.6299212598,0.581799591,-0.6377952756,0.6226993865,-0.6377952756,0.6431492843,-0.6377952756,0.663599182,-0.6299212598,0.6840490798,-0.6220472441,0.7055214724,-0.6220472441,0.7280163599,-0.5984251969,0.7505112474,-0.5984251969,0.7740286299,-0.5748031496,0.8210633947,-0.5590551181,0.8445807771,-0.5354330709,0.8650306748,-0.5196850394,0.8885480573,-0.5039370079,0.908997955,TRUE
266,0.031496063,0.9856850716,0.0236220472,0.9846625767,0.0078740157,0.9795501022,-0.0078740157,0.972392638,-0.0157480315,0.9621676892,-0.0393700787,0.9509202454,-0.062992126,0.9243353783,-0.0866141732,0.9100204499,-0.1181102362,0.8946830266,-0.125984252,0.8773006135,-0.1417322835,0.8609406953,-0.1653543307,0.8415132924,-0.1811023622,0.8220858896,-0.2047244094,0.8026584867,-0.2283464567,0.782208589,-0.2519685039,0.7607361963,-0.2677165354,0.7372188139,-0.2755905512,0.7137014315,-0.3149606299,0.6666666667,-0.3307086614,0.6441717791,-0.3464566929,0.618609407,-0.3858267717,0.5971370143,-0.4094488189,0.5736196319,-0.4251968504,0.5501022495,-0.4488188976,0.5316973415,-0.4645669291,0.5122699387,-0.4881889764,0.4969325153,-0.4645669291,0.4846625767,-0.4724409449,0.4775051125,-0.4803149606,0.4744376278,-0.4960629921,0.4734151329,-0.5511811024,0.4928425358,-0.5590551181,0.5081799591,-0.5748031496,0.527607362,-0.5984251969,0.5449897751,-0.6141732283,0.5654396728,-0.6220472441,0.5838445808,-0.6377952756,0.6063394683,-0.6377952756,0.6278118609,-0.6377952756,0.6492842536,-0.6377952756,0.672801636,-0.6299212598,0.6963190184,-0.6062992126,0.7208588957,-0.5905511811,0.7678936605,-0.5669291339,0.7924335378,-0.5433070866,0.8159509202,-0.5275590551,0.8394683027,-0.4960629921,0.8619631902,-0.4724409449,0.8844580777,-0.4488188976,0.9079754601,TRUE
267,0.2047244094,0.9856850716,0.1732283465,0.981595092,0.157480315,0.9795501022,0.1181102362,0.9734151329,0.1102362205,0.9652351738,0.0551181102,0.9468302658,0.0236220472,0.9376278119,-0.0472440945,0.908997955,-0.0708661417,0.8946830266,-0.1181102362,0.8588957055,-0.1496062992,0.8404907975,-0.1811023622,0.8016359918,-0.1968503937,0.7811860941,-0.2362204724,0.7372188139,-0.2677165354,0.7147239264,-0.2834645669,0.6697341513,-0.2992125984,0.6441717791,-0.3385826772,0.6032719836,-0.3700787402,0.5807770961,-0.4094488189,0.5378323108,-0.4251968504,0.5214723926,-0.4173228346,0.4897750511,-0.4015748031,0.4785276074,-0.4330708661,0.4713701431,-0.4488188976,0.4734151329,-0.4724409449,0.4795501022,-0.4566929134,0.509202454,-0.4724409449,0.5255623722,-0.4960629921,0.5603271984,-0.5039370079,0.5787321063,-0.5196850394,0.6145194274,-0.5354330709,0.6349693252,-0.5275590551,0.6707566462,-0.5354330709,0.6881390593,-0.5354330709,0.7147239264,-0.5433070866,0.7259713701,-0.5433070866,0.736196319,-0.5433070866,0.7372188139,-0.5433070866,0.7392638037,-0.5433070866,0.7392638037,-0.5433070866,0.7423312883,-0.5354330709,0.7433537832,-0.5196850394,0.7515337423,-0.5118110236,0.7576687117,-0.4881889764,0.7781186094,-0.4803149606,0.7934560327,-0.4566929134,0.827198364,-0.4409448819,0.8466257669,-0.3937007874,0.8865030675,-0.3700787402,0.908997955,FALSE
268,0.045045045,0.9631966351,0.009009009,0.952681388,-0.0540540541,0.9327024185,-0.1171171171,0.898002103,-0.1531531532,0.8548895899,-0.2162162162,0.8096740273,-0.2612612613,0.7602523659,-0.3333333333,0.7066246057,-0.3963963964,0.6498422713,-0.4594594595,0.5930599369,-0.5405405405,0.5394321767,-0.5675675676,0.5015772871,-0.6306306306,0.4784437434,-0.6666666667,0.4931650894,-0.6936936937,0.5257623554,-0.6306306306,0.5804416404,-0.5945945946,0.6382754995,-0.5675675676,0.6876971609,-0.5585585586,0.7108307045,-0.5315315315,0.7192429022,-0.5135135135,0.7287066246,-0.5405405405,0.7434279706,-0.5405405405,0.7602523659,-0.5315315315,0.7749737119,-0.5315315315,0.7949526814,-0.5045045045,0.8128286015,-0.4684684685,0.8349106204,-0.4504504505,0.8559411146,-0.4144144144,0.8811777077,-0.3693693694,0.9074658254,-0.3063063063,0.9337539432,-0.2162162162,0.9631966351,-0.1081081081,0.9789695058,0.009009009,0.9737118822,0.036036036,0.9768664564,0.0630630631,0.9810725552,0.0720720721,0.9800210305,0.0720720721,0.9810725552,0.0630630631,0.9789695058,0.0630630631,0.9758149317,0.0540540541,0.9758149317,0.045045045,0.9747634069,0.036036036,0.9747634069,0.036036036,0.9747634069,0.027027027,0.9758149317,0.018018018,0.9768664564,0,0.9779179811,-0.027027027,0.9758149317,-0.0720720721,0.9652996845,-0.1261261261,0.9411146162,FALSE
269,-0.1531531532,0.927444795,-0.1891891892,0.9169295478,-0.2162162162,0.9043112513,-0.2342342342,0.8916929548,-0.2612612613,0.8759200841,-0.2702702703,0.8601472135,-0.2972972973,0.8464773922,-0.3243243243,0.8317560463,-0.3513513514,0.7960042061,-0.3603603604,0.778128286,-0.3693693694,0.7581493165,-0.3873873874,0.7402733964,-0.4054054054,0.7192429022,-0.4144144144,0.7003154574,-0.4324324324,0.6792849632,-0.4414414414,0.6593059937,-0.4594594595,0.6393270242,-0.4594594595,0.61829653,-0.4864864865,0.596214511,-0.5045045045,0.578338591,-0.5135135135,0.5594111462,-0.5315315315,0.5415352261,-0.5585585586,0.5257623554,-0.5765765766,0.5110410095,-0.5945945946,0.4973711882,-0.5765765766,0.4794952681,-0.6036036036,0.476340694,-0.5945945946,0.4794952681,-0.6126126126,0.483701367,-0.6306306306,0.4931650894,-0.6396396396,0.5047318612,-0.6576576577,0.5173501577,-0.6576576577,0.5331230284,-0.6666666667,0.5478443743,-0.6666666667,0.5646687697,-0.6576576577,0.5814931651,-0.6486486486,0.6004206099,-0.6576576577,0.6172450053,-0.6396396396,0.6351209253,-0.6306306306,0.6550998948,-0.6306306306,0.6740273396,-0.6126126126,0.7171398528,-0.6036036036,0.738170347,-0.5945945946,0.7602523659,-0.5855855856,0.7844374343,-0.5675675676,0.8075709779,-0.5405405405,0.8307045216,-0.5225225225,0.8527865405,-0.4864864865,0.8748685594,-0.4594594595,0.8969505783,TRUE
270,0.036036036,0.9810725552,0.027027027,0.9789695058,0.009009009,0.9716088328,-0.018018018,0.967402734,-0.027027027,0.9610935857,-0.045045045,0.9537329127,-0.0630630631,0.9442691903,-0.0900900901,0.9327024185,-0.1171171171,0.9095688749,-0.1351351351,0.8958990536,-0.1441441441,0.880126183,-0.1711711712,0.8664563617,-0.1891891892,0.8485804416,-0.2342342342,0.8149316509,-0.2612612613,0.7960042061,-0.2792792793,0.7770767613,-0.2972972973,0.7592008412,-0.3063063063,0.7392218717,-0.3243243243,0.7202944269,-0.3603603604,0.6845425868,-0.3873873874,0.6666666667,-0.4054054054,0.6477392219,-0.4234234234,0.6319663512,-0.4414414414,0.6119873817,-0.4594594595,0.5972660358,-0.5135135135,0.563617245,-0.5135135135,0.5541535226,-0.5315315315,0.5383806519,-0.5315315315,0.5289169295,-0.5405405405,0.5194532072,-0.5495495495,0.5110410095,-0.5765765766,0.5120925342,-0.5945945946,0.5194532072,-0.6216216216,0.5299684543,-0.6216216216,0.5415352261,-0.6396396396,0.5552050473,-0.6306306306,0.5888538381,-0.6306306306,0.6067297581,-0.6306306306,0.6246056782,-0.6216216216,0.6414300736,-0.6216216216,0.6603575184,-0.5855855856,0.7150368034,-0.5675675676,0.7350157729,-0.5495495495,0.7539432177,-0.5495495495,0.7749737119,-0.5315315315,0.7981072555,-0.5045045045,0.818086225,-0.4594594595,0.8622502629,-0.4234234234,0.8832807571,-0.3963963964,0.9032597266,TRUE
271,0.1531531532,0.9779179811,0.1261261261,0.9716088328,0.0720720721,0.9579390116,0.045045045,0.9484752892,0,0.9253417455,-0.0540540541,0.898002103,-0.1081081081,0.8675078864,-0.1351351351,0.8349106204,-0.1891891892,0.8002103049,-0.2162162162,0.7823343849,-0.2792792793,0.7476340694,-0.3333333333,0.7097791798,-0.4054054054,0.6750788644,-0.4504504505,0.6372239748,-0.5045045045,0.6025236593,-0.5315315315,0.5888538381,-0.5675675676,0.5594111462,-0.5765765766,0.5352260778,-0.5945945946,0.5205047319,-0.6036036036,0.5131440589,-0.6216216216,0.5141955836,-0.6216216216,0.5205047319,-0.6306306306,0.5362776025,-0.6216216216,0.5594111462,-0.6306306306,0.578338591,-0.6216216216,0.5951629863,-0.6036036036,0.610935857,-0.5945945946,0.6277602524,-0.5945945946,0.6319663512,-0.5945945946,0.6456361725,-0.5855855856,0.6540483701,-0.5855855856,0.6645636172,-0.5855855856,0.6750788644,-0.5855855856,0.6855941115,-0.5855855856,0.6929547844,-0.5855855856,0.7045215563,-0.5765765766,0.7171398528,-0.5585585586,0.7297581493,-0.5585585586,0.7434279706,-0.5225225225,0.7581493165,-0.5045045045,0.7665615142,-0.4684684685,0.7802313354,-0.4414414414,0.7949526814,-0.4144144144,0.8096740273,-0.3873873874,0.825446898,-0.3333333333,0.840168244,-0.3063063063,0.8517350158,-0.2882882883,0.8706624606,-0.2522522523,0.8874868559,-0.2342342342,0.9095688749,FALSE
